provincia,localidad,nombre,direccion,denominacion_especifica,jurisdiccion _declaratoria,fecha_de_inauguracion,decreto_o_ley,numero_de_decreto_o_ley,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Casa que habitó Ricardo Rojas,Charcas 2837,Monumento Histórico,Nacional,29/5/1958,Ley,14437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Casa y Capilla de Ejercicios Espirituales y Colegio Nuestra Señora de Belén (actual Academia Superior de Estudios Penitenciarios y Museo Penitenciario ""Antonio Ballvé""",Humberto I 378 - ( Servicio Penitenciario Federal : Av San Juan 369),Monumento Histórico,Nacional,26/5/1982,Decreto,1034,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Casal de Catalunya,"Chacabuco Nros. 855, 863, 869 y 875",Monumento Histórico,Nacional,22/7/2014,Decreto,1163,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Catedral Anglicana de San Juan Bautista,25 de Mayo 276/82,Monumento Histórico Artístico,Nacional,29/12/2000,Decreto,1296,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Catedral de la Ciudad de Buenos Aires,Rivadavia y San Martín,Monumento Histórico,Nacional,21/5/1942,Decreto,120412,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cecilia Grierson,Cementerio Británico,Sepulcro,Nacional,21/4/2010,Decreto,525,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Cementerio de la Chacarita - Sector identificado como Sección 2, Manzana 9, Tablón 13.",s/d,Lugar Histórico,Nacional,2/10/2007,Decreto,1289,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural General San Martín,Sarmiento 1551,Bien de interés histórico-artístico,Nacional,21/6/2011,Decreto,837,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Nacional de Alto Rendimiento Deportivo (CENARD),Av. Miguel B. Sánchez 1050,Monumento Histórico,Nacional,2/10/2007,Decreto,1272,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Nacional de la Música (ex Biblioteca Nacional),México 560/62/64/68/84,Monumento Histórico,Nacional,10/5/2004,Decreto,570,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Centro Nacional de Reeducación Social (CENARESO), Asociación de Lucha contra la Bulimia y la Anorexia, y el Instituto de Formación Juan Pablo II","Combate de los Pozos 2073, 2133 y 2193",Monumento Histórico,Nacional,24/11/2015,Decreto,2524,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Vasco Laurak Bat,Avenida Belgrano 1144,Bien de Interés Histórico,Nacional,22/7/2014,Decreto,1163,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Gran Rex,Av. Corrientes 837,Monumento Histórico,Nacional,21/6/2011,Decreto,837,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Ópera,Av. Corrientes 860,Monumento Histórico,Nacional,21/6/2011,Decreto,837,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Regio,Av. Córdoba 6056,Bien de interés histórico-artístico,Nacional,21/6/2011,Decreto,837,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Club de Pescadores,"Sobre el Rio de la Plata, frente a la Avenida Costanera Rafael Obligado",Monumento Histórico,Nacional,11/6/2001,Decreto,766,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Club Español,Bernardo de Irigoyen Nros. 172/180,Monumento Histórico,Nacional,22/7/2014,Decreto,1163,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Club Gimnasia y Esgrima de Buenos Aires, sede General San Martín",Avenida Presidente Figueroa Alcorta 5575,Monumento Histórico,Nacional,22/7/2014,Decreto,1163,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. de Marina José Murature,Recoleta,Sepulcro,Nacional,12/6/1962,Decreto,5407,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Federico Brandsen,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Hilario Ascasubi,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Ignacio Alvarez Thomas,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Isidoro Suárez,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Jordan Czeslaw Wysocki,Recoleta,Sepulcro,Nacional,4/10/1976,Decreto,2367,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. José de Olavarría,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Manuel Dorrego,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Pedro José Díaz,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel. Ramón L. Falcón,Recoleta,Sepulcro,Nacional,30/10/1981,Decreto,1809,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cnel.de Marina Francisco Seguí,Recoleta,Sepulcro,Nacional,3/11/1947,Decreto,34033,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Coches Nros. 5, 10, 16, 22, 27, 48, 81, 83, 86, 100, 107, 114, 121, 124, 125, y Nº 3 English Electric, coches tirados a caballo y el tranvía “Compañía Lacroze”","Línea ""A"" de subterráneos",Monumento Histórico,Nacional,25/9/2014,Decreto,1670,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colegio Nacional de Buenos Aires,Bolívar 263,Lugar Histórico,Nacional,5/11/1943,Decreto,12904,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colegio Nacional de Buenos Aires,Bolívar Nros. 233/61/63/65,Monumento Histórico,Nacional,11/7/2016,Decreto,843,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colegio San José (Declarado también por Decreto 950/98,Azcuénaga 158/62 - Bartolomé Mitre 2455 - Tte. Gral. Perón 2450,Monumento Histórico,Nacional,28/10/1998,Ley,25045,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colegio San José (declarado también por Ley 25045),Azcuénaga 158/62 - Bartolomé Mitre 2455 - Tte. Gral. Perón 2450,Monumento Histórico,Nacional,14/8/1998,Decreto,950,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Confederación General del Trabajo (C.G.T.),Azopardo 820,Monumento Histórico,Nacional,12/9/2007,Decreto,1233,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Confederación General Económica,Av. Rivadavia 1113/1115/1119/1123,Lugar Histórico,Nacional,21/4/2010,Decreto,523,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Confitería El Molino,Rivadavia 1801,Monumento Histórico,Nacional,24/10/1997,Decreto,1110,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Congreso de la Nación,Av. Entre Ríos y Rivadavia,Monumento Histórico,Nacional,28/12/1993,Decreto,2676,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Conjunto El Hogar Obrero Villa Ortúzar,"Giribone Nros. 1321/25, Álvarez Thomas Nros. 1320/26/30 y Elcano Nro. 3665",Bien de interés histórico nacional,Nacional,3/7/2015,Decreto,1302,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Convento de las Catalinas. Convento de Santa Catalina de Siena,"Calles San Martín, Viamonte, Reconquista y Córdoba",Monumento Histórico,Nacional,18/2/1975,Decreto,369,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Convento de los Mercedarios,Reconquista 269,Monumento Histórico,Nacional,14/8/1957,Decreto,9532,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Convento de los Recoletos Franciscanos (Centro Cultural Recoleta - ex Asilo de ancianos Gob. Viamonte),Junin 1930,Monumento Histórico,Nacional,28/9/1948,Decreto,29746,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Corbeta ""Uruguay""",s/d,Monumento Histórico,Nacional,6/6/1967,Decreto,3968,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cornelio Saavedra,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Coronel Juan Bautista Thorne,Cementerio Británico,Sepulcro,Nacional,21/4/2010,Decreto,525,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Crematorio Municipal,Cementerio de la Chacarita,Monumento Histórico,Nacional,2/10/2007,Decreto,1289,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Dársena Norte (Combate Naval de Los Pozos),s/d,Lugar Histórico,Nacional,21/5/1942,Decreto,120412,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Deán Saturnino Segurola,Catedral de Buenos Aires,Sepulcro,Nacional,11/7/1946,Decreto,2236,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Delfina Vedia de Mitre,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Diario La Prensa,Av de Mayo 567,Monumento Histórico,Nacional,15/11/1995,Ley,24594,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Domingo Faustino Sarmiento,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Domingo Matheu,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio “Teniente General Castiñeiras” (Ex SOMISA),Avenida Belgrano Nros. 751/69/91,Monumento Histórico,Nacional,3/12/2014,Decreto,2311,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio Ángel Giménez,Tte. Gral. Juan Domingo Perón Nros. 2070/72/74,Bien de interés histórico nacional,Nacional,3/7/2015,Decreto,1302,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio Juan B. Justo,Martín García Nros. 465/73/95 y Bolívar Nros. 1856/64/94,Bien de interés histórico nacional,Nacional,3/7/2015,Decreto,1302,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio Kavanagh,San Martín 1060/68/80/94 y Florida 1035/45/55/65/75/85/95,Monumento Histórico,Nacional,15/4/1999,Decreto,349,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio que fuera el Ministerio de Obras y Servicios Públicos,"Manzana entre las avenidas 9 de Julio, Belgrano y las calles Moreno y Lima",Monumento Histórico,Nacional,11/4/2002,Ley,25582,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio Rochdale,Calles Owen Nros. 2921/31/37 y Rochdale Nros. 1134/38,Bien de interés histórico nacional,Nacional,3/7/2015,Decreto,1302,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificio Tornquist,Bartolomé Mitre 523/31/59,Monumento Histórico,Nacional,19/6/2002,Decreto,1055,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edificios de la calle Austria 2577/87/89/93/ 2601,Austria 2577/87/89/93 y 2601,Lugar Histórico,Nacional,15/4/1999,Decreto,349,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Emma Nicolay de Caprile,Recoleta,Sepulcro,Nacional,3/9/1982,Decreto,508,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela ""Catedral al Norte"" (actual J. M. Estrada)",Reconquista 461,Monumento Histórico,Nacional,16/1/1970,Decreto,151,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela ""Otto Krause""","Paseo Colón 650, Chile - Azopardo - México",Bien de Interés Histórico,Nacional,31/5/1995,Ley,24491,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela de Comercio Nº 2 ""Dr. Antonio Bermejo"" (fachada y primer patio)",Av. Callao 628,Monumento Histórico,Nacional,15/10/2012,Decreto,1946,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela Nacional Normal de Profesores Nº 1 ""Pte.R.Sáenz Peña""",Avenida Córdoba 1951,Monumento Histórico,Nacional,30/9/1975,Ley,21181,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela Normal ""Mariano Acosta""","General Urquiza 277, esquina Moreno",Monumento Histórico,Nacional,15/9/1999,Ley,25171,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela Normal Nº 5 ""Gral. Don Martín Miguel de Güemes""",Arcamendia Nºs. 707/43/93,Monumento Histórico,Nacional,3/7/2015,Decreto,1288,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Escuela Pedro de Mendoza Nº 19 Distrito Escolar Nº 4 – Museo de Bellas Artes de la Boca – Complejo Cultural Benito Quinquela Martín,Avenida Pedro de Mendoza 1835,Monumento Histórico,Nacional,29/3/2011,Decreto,373,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Escuela Técnica Nº 31, Distrito Escolar Nº 4 “Maestro Quinquela”",Avenida Pedro de Mendoza 1777,Monumento Histórico,Nacional,29/3/2011,Decreto,373,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,ESMA - Casino de Oficiales de la ex Escuela Superior de Mecánica de la Armada,"Polígono formado por las calles Pico, La Cachila, Muratore y San Martín con frente hacia Av. del Libertador",Monumento Histórico,Nacional,19/8/2008,Decreto,1333,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,ESMA - Predio y restantes edificios de la Escuela Superior de Mecánica de la Armada,"Av. del Libertador Nº 8151, 8209, 8305, 8401, 8461",Lugar Histórico,Nacional,19/8/2008,Decreto,1333,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Esquina Homero Manzi,San Juan 3601 (y Boedo),Sitio Histórico,Nacional,25/9/1996,Ley,24704,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Estación Terminal Retiro,Ramos Mejía 1340/1402,Monumento Histórico,Nacional,20/3/1997,Decreto,262,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Plaza de Mayo, Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Perú, Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Piedras, Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Lima, Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Estación Saenz Peña Línea A,s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Estación Congreso,s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Pasco (Norte), Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Alberti (Sur), Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Plaza Miserere, Línea A",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación San Juan, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Independencia, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Moreno, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Av. De Mayo, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Diagonal Norte, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Lavalle, Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación San Martín,  Línea C",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Catedral, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación 9 de Julio, Linea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Tribunales, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Facultad de Medicina, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Agüero, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Bulnes, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Scalabrini Ortiz, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Plaza Italia, Línea D",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Estación Palermo Línea D,s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación San José, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Entre Rios - Rodolfo Walsh, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Pichincha, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Jujuy, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Urquiza, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Estación Boedo, Línea E",s/d,Monumento Histórico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Estanislao del Campo,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Eustoquio Díaz Vélez,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ex Administración del FFCC B.Mitre y el Museo Nacional Ferroviario,"Av del Libertador Gral San Martín 405, y Ramos Mejía",Bien de Interés Histórico Artístico,Nacional,20/3/1997,Decreto,262,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Ex Centro Clandestino de Detención ""Automotores Orletti""",General Venancio Flores Nros. 3519/21,Lugar Histórico,Nacional,2/10/2014,Decreto,1762,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Ex Centro Clandestino de Detención ""Club Atlético""","Cochabamba s/n, esquina Azopardo s/n",Lugar Histórico,Nacional,2/10/2014,Decreto,1762,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Ex Centro Clandestino de Detención ""Olimpo""","Calles Fernández, Ramón L. Falcón Nº 4202/4500, Avenida Olivera, Lacarra y Rafaela 4271",Lugar Histórico,Nacional,2/10/2014,Decreto,1762,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Ex Centro Clandestino de Detención ""Virrey Cevallos""",Virrey Cevallos Nros. 628/30/36,Lugar Histórico,Nacional,2/10/2014,Decreto,1762,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,ex-Hotel de Inmigrantes,Av Antártida Argentina 1355,Monumento Histórico,Nacional,19/11/1990,Decreto,2402,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Facultad de Ingeniería (ex Sede de la Fundación Eva Perón),Av. Paseo Colón 850,Monumento Histórico,Nacional,27/12/2011,Ley,26714,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Federación de Asociaciones Católicas de empleadas (FACE) (Casa de la Empleada),Sarmiento 1272,Monumento Histórico,Nacional,6/2/2006,Decreto,129,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Federación de Círculos Católicos de Obreros,Junín 1063,Bien de Interés Histórico,Nacional,11/11/2013,Decreto,1741,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Feliciano Antonio Chiclana,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,First National Bank of Boston - Casa Central,Florida 99,Monumento Histórico,Nacional,19/6/2002,Decreto,1055,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fondeadero y espejo de agua del Yacht Club Argentino,Antepuerto Pto de Bs As,Lugar Histórico,Nacional,11/6/2001,Decreto,766,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Fragata Escuela ""Presidente Sarmiento""",s/d,Monumento Histórico,Nacional,18/6/1962,Decreto,5589,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Francis Amstrong de Bessler,Cementerio Británico,Sepulcro,Nacional,21/4/2010,Decreto,525,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Francisco de Escalada,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Francisco Javier Muñiz,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fuente de las Nereidas,Av. Tristán Achaval Rodriguez frente a espigón (Costanera Sur),Bien de Interés Histórico Artístico,Nacional,16/5/1997,Decreto,437,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galerías Pacífico,"Florida, Viamonte, Av Córdoba y San Martín",Monumento Histórico,Nacional,3/10/1989,Decreto,929,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Antonio González Balcarce,Convento Santo Domingo,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Bartolomé Mitre,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Carlos de Alvear,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Emilio Mitre,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Felix Benavides,Recoleta,Sepulcro,Nacional,21/9/1983,Decreto,2465,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. José de San Martín,Catedral de Buenos Aires,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. José M. Piran,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. José Matías Zapiola,Convento de Santo Domingo,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Juan A.Gelly y Obes,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Juan Florencio Terrada,Recoleta,Sepulcro,Nacional,2/10/1946,Decreto,12806,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Juan José Viamonte,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Juan Lavalle,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gral. Juan O'Brein,Recoleta,Sepulcro,Nacional,31/1/1946,Decreto,3039,,,
